strategy,scenario,municipalities,capacity_margin,iso_code,id
Hybrid,Scenario 3 (300 Mbps),"Arnhem,Overbetuwe",4.09e-12,NLD,"Arnhem,Overbetuwe"
Small Cells,Scenario 3 (300 Mbps),"Arnhem,Overbetuwe",0.0,NLD,"Arnhem,Overbetuwe"
Spectrum Integration,Scenario 3 (300 Mbps),"Arnhem,Overbetuwe",-22432.91814,NLD,"Arnhem,Overbetuwe"
Hybrid,Scenario 1 (30 Mbps),Assen,-7245.85404,NLD,Assen
Small Cells,Scenario 1 (30 Mbps),Assen,-8629.9086,NLD,Assen
Spectrum Integration,Scenario 1 (30 Mbps),Assen,-7245.85404,NLD,Assen
Hybrid,Scenario 2 (100 Mbps),Assen,-36243.75948,NLD,Assen
Small Cells,Scenario 2 (100 Mbps),Assen,-37627.81404,NLD,Assen
Spectrum Integration,Scenario 2 (100 Mbps),Assen,-36243.75948,NLD,Assen
Hybrid,Scenario 3 (300 Mbps),Assen,-119094.9179,NLD,Assen
Small Cells,Scenario 3 (300 Mbps),Assen,-120478.9724,NLD,Assen
Spectrum Integration,Scenario 3 (300 Mbps),Assen,-119094.9179,NLD,Assen
Hybrid,Scenario 1 (30 Mbps),Asten,28848.60645,NLD,Asten
Small Cells,Scenario 1 (30 Mbps),Asten,28565.12294,NLD,Asten
Spectrum Integration,Scenario 1 (30 Mbps),Asten,-873.579168,NLD,Asten
Hybrid,Scenario 2 (100 Mbps),Asten,78012.92277,NLD,Asten
Small Cells,Scenario 2 (100 Mbps),Asten,77330.68383,NLD,Asten
Spectrum Integration,Scenario 2 (100 Mbps),Asten,-7453.281666,NLD,Asten
Hybrid,Scenario 3 (300 Mbps),Asten,58074.47157,NLD,Asten
Small Cells,Scenario 3 (300 Mbps),Asten,57392.23263,NLD,Asten
Spectrum Integration,Scenario 3 (300 Mbps),Asten,-27391.73287,NLD,Asten
Hybrid,Scenario 1 (30 Mbps),Baarle-Nassau,482.79672,NLD,Baarle-Nassau
Small Cells,Scenario 1 (30 Mbps),Baarle-Nassau,482.79672,NLD,Baarle-Nassau
Spectrum Integration,Scenario 1 (30 Mbps),Baarle-Nassau,482.79672,NLD,Baarle-Nassau
Hybrid,Scenario 2 (100 Mbps),Baarle-Nassau,90859.48435,NLD,Baarle-Nassau
Small Cells,Scenario 2 (100 Mbps),Baarle-Nassau,90196.03047,NLD,Baarle-Nassau
Spectrum Integration,Scenario 2 (100 Mbps),Baarle-Nassau,-1888.058718,NLD,Baarle-Nassau
